(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ergebnisse nach Wahlkreisen;;;;;;;;;;;;;;;;
Status:;Vorläufig;;;;;;;;;;;;;;;
Stand:;24.02.2025;04:08;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Gebietsart;Gebietsnummer;Gebietsname;UegGebietsart;UegGebietsnummer;Gruppenart;Gruppenname;Gruppenreihenfolge;Stimme;Anzahl;Prozent;VorpAnzahl;VorpProzent;DiffProzent;DiffProzentPkt;Bemerkung;Gewählt
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;SSW;7;1;58773;3,13232;35027;1,990156;67,793417;1,142164;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;SSW;7;2;76126;4,049079;55578;3,152907;36,971464;0,896171;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Die PARTEI;8;1;2020;0,107656;18090;1,027833;-88,83361;-0,920177;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Die PARTEI;8;2;13738;0,730713;17870;1,013755;-23,122552;-0,283042;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;FREIE WÄHLER;9;1;25147;1,340215;26518;1,506693;-5,170073;-0,166479;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;FREIE WÄHLER;9;2;13651;0,726085;17043;0,966839;-19,902599;-0,240754;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Volt;10;1;23284;1,240926;1431;0,081306;1527,113906;1,15962;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Volt;10;2;16512;0,87826;4157;0,235824;297,209526;0,642435;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;MLPD;11;1;286;0,015242;265;0,015057;7,924528;0,000186;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;MLPD;11;2;581;0,030903;322;0,018267;80,434783;0,012636;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;BÜNDNIS DEUTSCHLAND;12;1;3227;0,171984;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;BÜNDNIS DEUTSCHLAND;12;2;3031;0,161216;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;BSW;13;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;BSW;13;2;64728;3,442829;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Einzelbewerber/Wählergruppe;Einzelbewerber/Wählergruppe;14;1;1272;0,067792;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;dieBasis;15;1;;;27124;1,541125;;-1,541125;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;dieBasis;15;2;;;23407;1,327865;;-1,327865;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Team Todenhöfer;16;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Team Todenhöfer;16;2;;;5305;0,30095;;-0,30095;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;ÖDP;17;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;ÖDP;17;2;;;1539;0,087307;;-0,087307;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;PdH;18;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;PdH;18;2;;;1763;0,100014;;-0,100014;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Tierschutzpartei;19;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Tierschutzpartei;19;2;;;20653;1,171633;;-1,171633;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Übrige;1000;1;;;3294;0,187158;;-0,187158;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Übrige;1000;2;;;6057;0,34361;;-0,34361;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Wahlberechtigte;-4;;1293732;;1314435;;-1,575049;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Wählende;-3;;1029150;79,548933;935040;71,136268;10,06481;8,412665;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Ungültige;-2;1;11447;1,112277;16954;1,813184;-32,48201;-0,700907;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Ungültige;-2;2;7925;0,770053;16181;1,730514;-51,022805;-0,960461;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Gültige;-1;1;1017703;98,887723;918086;98,186816;10,850509;0,700907;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Gültige;-1;2;1021225;99,229947;918859;98,269486;11,140556;0,960461;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;SPD;1;1;179542;17,641886;261408;28,47315;-31,317328;-10,831264;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;SPD;1;2;126703;12,406962;267368;29,097827;-52,611008;-16,690865;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;AfD;2;1;376837;37,02819;169977;18,514279;121,698818;18,513911;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;AfD;2;2;357356;34,992876;165342;17,994273;116,131412;16,998603;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;CDU;3;1;205788;20,220831;180669;19,678875;13,903326;0,541955;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;CDU;3;2;181963;17,818111;160103;17,42411;13,65371;0,394001;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Die Linke;4;1;144779;14,226056;116033;12,638576;24,773987;1,58748;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Die Linke;4;2;123051;12,049352;101735;11,071884;20,952475;0,977469;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;FDP;5;1;29338;2,882766;66328;7,224596;-55,768303;-4,341829;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;FDP;5;2;32679;3,19998;75555;8,222698;-56,748064;-5,022718;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;GRÜNE;6;1;36896;3,625419;62664;6,825504;-41,120899;-3,200085;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;GRÜNE;6;2;54721;5,358369;71956;7,831017;-23,952137;-2,472648;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Tierschutzpartei;7;1;6200;0,609215;14324;1,560202;-56,716001;-0,950987;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Tierschutzpartei;7;2;15672;1,534628;20582;2,239952;-23,855796;-0,705324;;
